familia,nombre,genero,color,talla,cantidad,valor,proveedor,tipo_movimiento,fecha,factura,orden,concepto
UNIFORME,UNIFORME ESCOLAR,NINA,AZUL MARINO,6,10,35.35,HILADOS PIURA E.I.R.L.,1000,,F001-000113,OC-2026-0014,Compra de temporada
BIOSEGURIDAD,MANDIL DESCARTABLE,UNISEX,NEGRO,UNICA,17,7.10,CONFECCIONES LUCERO,1000,,F001-000114,OC-2026-0015,Compra de temporada
BATA,BATA QUIRURGICA,UNISEX,BEIGE,XXL,24,44.15,TEXTILES DEL NORTE S.A.C.,1000,,F001-000115,OC-2026-0016,Compra de temporada
POLO,POLO DEPORTIVO,HOMBRE,CELESTE,XL,31,15.88,HILADOS PIURA E.I.R.L.,1000,,F001-000116,OC-2026-0017,Compra de temporada
PANTALON,PANTALON JOGGER,MUJER,AZUL MARINO,L,38,28.57,CONFECCIONES LUCERO,1000,,F001-000117,OC-2026-0018,Compra de temporada
CAMISA,CAMISA CASUAL,HOMBRE,NEGRO,M,45,28.12,TEXTILES DEL NORTE S.A.C.,1000,,F001-000118,OC-2026-0019,Compra de temporada
CAMISETA,CAMISETA DEPORTIVA,MUJER,BEIGE,S,52,17.23,HILADOS PIURA E.I.R.L.,1000,,F001-000119,OC-2026-0020,Compra de temporada
JEAN,JEAN SLIM,HOMBRE,CELESTE,XS,59,54.20,CONFECCIONES LUCERO,1210,,F001-000120,OC-2026-0021,Traslado entre bodegas
SHORT,SHORT CASUAL,MUJER,AZUL MARINO,XXL,66,19.30,TEXTILES DEL NORTE S.A.C.,1000,,F001-000121,OC-2026-0022,Compra de temporada
VESTIDO,VESTIDO FORMAL,MUJER,NEGRO,XL,73,70.10,HILADOS PIURA E.I.R.L.,1000,,F001-000122,OC-2026-0023,Compra de temporada
BLUSA,BLUSA CASUAL,MUJER,BEIGE,L,80,31.86,CONFECCIONES LUCERO,1000,,F001-000123,OC-2026-0024,Compra de temporada
BUSO,BUSO CANGURO,HOMBRE,CELESTE,M,87,30.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000124,OC-2026-0025,Compra de temporada
CHAQUETA,CHAQUETA JEAN,MUJER,AZUL MARINO,S,94,50.00,HILADOS PIURA E.I.R.L.,1000,,F001-000125,OC-2026-0026,Compra de temporada
FALDA,FALDA CASUAL,MUJER,NEGRO,XS,10,25.70,CONFECCIONES LUCERO,1000,,F001-000126,OC-2026-0027,Compra de temporada
OVEROL,OVEROL JARDINERO,UNISEX,BEIGE,XXL,17,40.20,TEXTILES DEL NORTE S.A.C.,1000,,F001-000127,OC-2026-0028,Compra de temporada
UNIFORME,UNIFORME INDUSTRIAL,UNISEX,CELESTE,XL,24,47.80,HILADOS PIURA E.I.R.L.,1000,,F001-000128,OC-2026-0029,Compra de temporada
BIOSEGURIDAD,MASCARILLA TELA,UNISEX,AZUL MARINO,UNICA,31,3.31,CONFECCIONES LUCERO,1000,,F001-000129,OC-2026-0030,Compra de temporada
BATA,BATA ESCOLAR,NINO,NEGRO,8,38,27.00,TEXTILES DEL NORTE S.A.C.,1000,,F001-000130,OC-2026-0031,Compra de temporada
POLO,POLO PIQUE,MUJER,BEIGE,S,45,14.30,HILADOS PIURA E.I.R.L.,1000,,F001-000131,OC-2026-0032,Compra de temporada
PANTALON,PANTALON CARGO,HOMBRE,CELESTE,XS,52,33.20,CONFECCIONES LUCERO,1000,,F001-000132,OC-2026-0033,Compra de temporada
CAMISA,CAMISA MANGA LARGA,HOMBRE,AZUL MARINO,XXL,59,33.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000133,OC-2026-0034,Compra de temporada
CAMISETA,CAMISETA ALGODON,NINO,NEGRO,XL,66,13.36,HILADOS PIURA E.I.R.L.,1000,,F001-000134,OC-2026-0035,Compra de temporada
JEAN,JEAN CLASICO,MUJER,BEIGE,L,73,48.75,CONFECCIONES LUCERO,1000,,F001-000135,OC-2026-0036,Compra de temporada
SHORT,SHORT DEPORTIVO,HOMBRE,CELESTE,M,80,16.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000136,OC-2026-0037,Compra de temporada
VESTIDO,VESTIDO CASUAL,MUJER,AZUL MARINO,S,87,45.82,HILADOS PIURA E.I.R.L.,1000,,F001-000137,OC-2026-0038,Compra de temporada
BLUSA,BLUSA FORMAL,MUJER,NEGRO,XS,94,38.92,CONFECCIONES LUCERO,1000,,F001-000138,OC-2026-0039,Compra de temporada
BUSO,BUSO DEPORTIVO,MUJER,BEIGE,XXL,10,26.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000139,OC-2026-0040,Compra de temporada
CHAQUETA,CHAQUETA IMPERMEABLE,HOMBRE,CELESTE,XL,17,54.00,HILADOS PIURA E.I.R.L.,1007,,F001-000140,OC-2026-0041,Ajuste positivo de inventario
FALDA,FALDA ESCOLAR,NINA,AZUL MARINO,10,24,19.30,CONFECCIONES LUCERO,1000,,F001-000141,OC-2026-0042,Compra de temporada
OVEROL,OVEROL INDUSTRIAL,UNISEX,NEGRO,M,31,46.50,TEXTILES DEL NORTE S.A.C.,1000,,F001-000142,OC-2026-0043,Compra de temporada
UNIFORME,UNIFORME ESCOLAR,NINA,BEIGE,6,38,33.85,HILADOS PIURA E.I.R.L.,1000,,F001-000143,OC-2026-0044,Compra de temporada
BIOSEGURIDAD,MANDIL DESCARTABLE,UNISEX,CELESTE,UNICA,45,6.60,CONFECCIONES LUCERO,1000,,F001-000144,OC-2026-0045,Compra de temporada
BATA,BATA CLINICA,UNISEX,AZUL MARINO,XXL,52,35.60,TEXTILES DEL NORTE S.A.C.,1000,,F001-000145,OC-2026-0046,Compra de temporada
POLO,POLO BASICO,HOMBRE,NEGRO,XL,59,21.80,HILADOS PIURA E.I.R.L.,1000,,F001-000146,OC-2026-0047,Compra de temporada
PANTALON,PANTALON DRIL,HOMBRE,BEIGE,L,66,30.20,CONFECCIONES LUCERO,1000,,F001-000147,OC-2026-0048,Compra de temporada
CAMISA,CAMISA FORMAL,HOMBRE,CELESTE,M,73,36.00,TEXTILES DEL NORTE S.A.C.,1000,,F001-000148,OC-2026-0049,Compra de temporada
CAMISETA,CAMISETA DEPORTIVA,MUJER,AZUL MARINO,S,80,16.33,HILADOS PIURA E.I.R.L.,1000,,F001-000149,OC-2026-0050,Compra de temporada
JEAN,JEAN SLIM,HOMBRE,NEGRO,XS,87,51.50,CONFECCIONES LUCERO,1000,,F001-000150,OC-2026-0051,Compra de temporada
SHORT,SHORT CASUAL,MUJER,BEIGE,XXL,94,18.30,TEXTILES DEL NORTE S.A.C.,1000,,F001-000151,OC-2026-0052,Compra de temporada
VESTIDO,VESTIDO FORMAL,MUJER,CELESTE,XL,10,66.60,HILADOS PIURA E.I.R.L.,1000,,F001-000152,OC-2026-0053,Compra de temporada
BLUSA,BLUSA CASUAL,MUJER,AZUL MARINO,L,17,30.46,CONFECCIONES LUCERO,1000,,F001-000153,OC-2026-0054,Compra de temporada
BUSO,BUSO CANGURO,NINO,NEGRO,M,24,28.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000154,OC-2026-0055,Compra de temporada
CHAQUETA,CHAQUETA JEAN,MUJER,BEIGE,S,31,46.00,HILADOS PIURA E.I.R.L.,1000,,F001-000155,OC-2026-0056,Compra de temporada
FALDA,FALDA CASUAL,MUJER,CELESTE,XS,38,24.20,CONFECCIONES LUCERO,1000,,F001-000156,OC-2026-0057,Compra de temporada
OVEROL,OVEROL JARDINERO,UNISEX,AZUL MARINO,XXL,45,38.20,TEXTILES DEL NORTE S.A.C.,1000,,F001-000157,OC-2026-0058,Compra de temporada
UNIFORME,UNIFORME INDUSTRIAL,UNISEX,NEGRO,XL,52,45.80,HILADOS PIURA E.I.R.L.,1000,,F001-000158,OC-2026-0059,Compra de temporada
BIOSEGURIDAD,MASCARILLA TELA,UNISEX,BEIGE,UNICA,59,3.01,CONFECCIONES LUCERO,1000,,F001-000159,OC-2026-0060,Compra de temporada
BATA,BATA QUIRURGICA,UNISEX,CELESTE,M,66,41.60,TEXTILES DEL NORTE S.A.C.,1002,,F001-000160,OC-2026-0061,Devolución de cliente
POLO,POLO DEPORTIVO,MUJER,AZUL MARINO,S,73,25.23,HILADOS PIURA E.I.R.L.,1000,,F001-000161,OC-2026-0062,Compra de temporada
PANTALON,PANTALON JOGGER,HOMBRE,NEGRO,XS,80,26.02,CONFECCIONES LUCERO,1000,,F001-000162,OC-2026-0063,Compra de temporada
CAMISA,CAMISA CASUAL,MUJER,BEIGE,XXL,87,25.42,TEXTILES DEL NORTE S.A.C.,1000,,F001-000163,OC-2026-0064,Compra de temporada
CAMISETA,CAMISETA ALGODON,HOMBRE,CELESTE,XL,94,12.56,HILADOS PIURA E.I.R.L.,1000,,F001-000164,OC-2026-0065,Compra de temporada
JEAN,JEAN CLASICO,MUJER,AZUL MARINO,L,10,46.25,CONFECCIONES LUCERO,1000,,F001-000165,OC-2026-0066,Compra de temporada
SHORT,SHORT DEPORTIVO,NINO,NEGRO,M,17,15.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000166,OC-2026-0067,Compra de temporada
VESTIDO,VESTIDO CASUAL,MUJER,BEIGE,S,24,43.62,HILADOS PIURA E.I.R.L.,1000,,F001-000167,OC-2026-0068,Compra de temporada
BLUSA,BLUSA FORMAL,MUJER,CELESTE,XS,31,37.12,CONFECCIONES LUCERO,1000,,F001-000168,OC-2026-0069,Compra de temporada
BUSO,BUSO DEPORTIVO,MUJER,AZUL MARINO,XXL,38,44.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000169,OC-2026-0070,Compra de temporada
CHAQUETA,CHAQUETA IMPERMEABLE,HOMBRE,NEGRO,XL,45,49.50,HILADOS PIURA E.I.R.L.,1000,,F001-000170,OC-2026-0071,Compra de temporada
FALDA,FALDA ESCOLAR,NINA,BEIGE,10,52,18.30,CONFECCIONES LUCERO,1000,,F001-000171,OC-2026-0072,Compra de temporada
OVEROL,OVEROL INDUSTRIAL,UNISEX,CELESTE,M,59,44.00,TEXTILES DEL NORTE S.A.C.,1000,,F001-000172,OC-2026-0073,Compra de temporada
UNIFORME,UNIFORME ESCOLAR,NINA,AZUL MARINO,6,66,32.35,HILADOS PIURA E.I.R.L.,1000,,F001-000173,OC-2026-0074,Compra de temporada
BIOSEGURIDAD,MANDIL DESCARTABLE,UNISEX,NEGRO,UNICA,73,6.10,CONFECCIONES LUCERO,1000,,F001-000174,OC-2026-0075,Compra de temporada
BATA,BATA ESCOLAR,NINA,BEIGE,14,80,25.50,TEXTILES DEL NORTE S.A.C.,1000,,F001-000175,OC-2026-0076,Compra de temporada
POLO,POLO PIQUE,HOMBRE,CELESTE,XL,87,22.80,HILADOS PIURA E.I.R.L.,1000,,F001-000176,OC-2026-0077,Compra de temporada
PANTALON,PANTALON CARGO,HOMBRE,AZUL MARINO,L,94,30.20,CONFECCIONES LUCERO,1000,,F001-000177,OC-2026-0078,Compra de temporada
CAMISA,CAMISA MANGA LARGA,HOMBRE,NEGRO,M,10,30.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000178,OC-2026-0079,Compra de temporada
CAMISETA,CAMISETA DEPORTIVA,MUJER,BEIGE,S,17,15.43,HILADOS PIURA E.I.R.L.,1000,,F001-000179,OC-2026-0080,Compra de temporada
JEAN,JEAN SLIM,HOMBRE,CELESTE,XS,24,48.80,CONFECCIONES LUCERO,1210,,F001-000180,OC-2026-0081,Traslado entre bodegas
SHORT,SHORT CASUAL,MUJER,AZUL MARINO,XXL,31,17.30,TEXTILES DEL NORTE S.A.C.,1000,,F001-000181,OC-2026-0082,Compra de temporada
VESTIDO,VESTIDO FORMAL,MUJER,NEGRO,XL,38,63.10,HILADOS PIURA E.I.R.L.,1000,,F001-000182,OC-2026-0083,Compra de temporada
BLUSA,BLUSA CASUAL,MUJER,BEIGE,L,45,29.06,CONFECCIONES LUCERO,1000,,F001-000183,OC-2026-0084,Compra de temporada
BUSO,BUSO CANGURO,HOMBRE,CELESTE,M,52,46.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000184,OC-2026-0085,Compra de temporada
CHAQUETA,CHAQUETA JEAN,MUJER,AZUL MARINO,S,59,42.00,HILADOS PIURA E.I.R.L.,1000,,F001-000185,OC-2026-0086,Compra de temporada
FALDA,FALDA CASUAL,MUJER,NEGRO,XS,66,22.70,CONFECCIONES LUCERO,1000,,F001-000186,OC-2026-0087,Compra de temporada
OVEROL,OVEROL JARDINERO,UNISEX,BEIGE,XXL,73,36.20,TEXTILES DEL NORTE S.A.C.,1000,,F001-000187,OC-2026-0088,Compra de temporada
UNIFORME,UNIFORME INDUSTRIAL,UNISEX,CELESTE,XL,80,43.80,HILADOS PIURA E.I.R.L.,1000,,F001-000188,OC-2026-0089,Compra de temporada
BIOSEGURIDAD,MASCARILLA TELA,UNISEX,AZUL MARINO,UNICA,87,2.71,CONFECCIONES LUCERO,1000,,F001-000189,OC-2026-0090,Compra de temporada
BATA,BATA CLINICA,UNISEX,NEGRO,M,94,33.20,TEXTILES DEL NORTE S.A.C.,1000,,F001-000190,OC-2026-0091,Compra de temporada
POLO,POLO BASICO,MUJER,BEIGE,S,10,20.30,HILADOS PIURA E.I.R.L.,1000,,F001-000191,OC-2026-0092,Compra de temporada
PANTALON,PANTALON DRIL,HOMBRE,CELESTE,XS,17,47.20,CONFECCIONES LUCERO,1000,,F001-000192,OC-2026-0093,Compra de temporada
CAMISA,CAMISA FORMAL,HOMBRE,AZUL MARINO,XXL,24,32.25,TEXTILES DEL NORTE S.A.C.,1000,,F001-000193,OC-2026-0094,Compra de temporada
CAMISETA,CAMISETA ALGODON,NINO,NEGRO,XL,31,11.76,HILADOS PIURA E.I.R.L.,1000,,F001-000194,OC-2026-0095,Compra de temporada
JEAN,JEAN CLASICO,MUJER,BEIGE,L,38,43.75,CONFECCIONES LUCERO,1000,,F001-000195,OC-2026-0096,Compra de temporada
SHORT,SHORT DEPORTIVO,HOMBRE,CELESTE,M,45,14.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000196,OC-2026-0097,Compra de temporada
VESTIDO,VESTIDO CASUAL,MUJER,AZUL MARINO,S,52,41.42,HILADOS PIURA E.I.R.L.,1000,,F001-000197,OC-2026-0098,Compra de temporada
BLUSA,BLUSA FORMAL,MUJER,NEGRO,XS,59,35.32,CONFECCIONES LUCERO,1000,,F001-000198,OC-2026-0099,Compra de temporada
BUSO,BUSO DEPORTIVO,MUJER,BEIGE,XXL,66,42.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000199,OC-2026-0100,Compra de temporada
CHAQUETA,CHAQUETA IMPERMEABLE,HOMBRE,CELESTE,XL,73,45.00,HILADOS PIURA E.I.R.L.,1007,,F001-000200,OC-2026-0101,Ajuste positivo de inventario
FALDA,FALDA ESCOLAR,NINA,AZUL MARINO,10,80,17.30,CONFECCIONES LUCERO,1000,,F001-000201,OC-2026-0102,Compra de temporada
OVEROL,OVEROL INDUSTRIAL,UNISEX,NEGRO,M,87,41.50,TEXTILES DEL NORTE S.A.C.,1000,,F001-000202,OC-2026-0103,Compra de temporada
UNIFORME,UNIFORME ESCOLAR,NINA,BEIGE,6,94,30.85,HILADOS PIURA E.I.R.L.,1000,,F001-000203,OC-2026-0104,Compra de temporada
BIOSEGURIDAD,MANDIL DESCARTABLE,UNISEX,CELESTE,UNICA,10,5.60,CONFECCIONES LUCERO,1000,,F001-000204,OC-2026-0105,Compra de temporada
BATA,BATA QUIRURGICA,UNISEX,AZUL MARINO,XXL,17,39.05,TEXTILES DEL NORTE S.A.C.,1000,,F001-000205,OC-2026-0106,Compra de temporada
POLO,POLO DEPORTIVO,HOMBRE,NEGRO,XL,24,23.58,HILADOS PIURA E.I.R.L.,1000,,F001-000206,OC-2026-0107,Compra de temporada
PANTALON,PANTALON JOGGER,MUJER,BEIGE,L,31,40.47,CONFECCIONES LUCERO,1000,,F001-000207,OC-2026-0108,Compra de temporada
CAMISA,CAMISA CASUAL,HOMBRE,CELESTE,M,38,22.72,TEXTILES DEL NORTE S.A.C.,1000,,F001-000208,OC-2026-0109,Compra de temporada
CAMISETA,CAMISETA DEPORTIVA,MUJER,AZUL MARINO,S,45,14.53,HILADOS PIURA E.I.R.L.,1000,,F001-000209,OC-2026-0110,Compra de temporada
JEAN,JEAN SLIM,HOMBRE,NEGRO,XS,52,46.10,CONFECCIONES LUCERO,1000,,F001-000210,OC-2026-0111,Compra de temporada
SHORT,SHORT CASUAL,MUJER,BEIGE,XXL,59,16.30,TEXTILES DEL NORTE S.A.C.,1000,,F001-000211,OC-2026-0112,Compra de temporada
VESTIDO,VESTIDO FORMAL,MUJER,CELESTE,XL,66,59.60,HILADOS PIURA E.I.R.L.,1000,,F001-000212,OC-2026-0113,Compra de temporada
BLUSA,BLUSA CASUAL,MUJER,AZUL MARINO,L,73,27.66,CONFECCIONES LUCERO,1000,,F001-000213,OC-2026-0114,Compra de temporada
BUSO,BUSO CANGURO,NINO,NEGRO,M,80,44.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000214,OC-2026-0115,Compra de temporada
CHAQUETA,CHAQUETA JEAN,MUJER,BEIGE,S,87,78.00,HILADOS PIURA E.I.R.L.,1000,,F001-000215,OC-2026-0116,Compra de temporada
FALDA,FALDA CASUAL,MUJER,CELESTE,XS,94,21.20,CONFECCIONES LUCERO,1000,,F001-000216,OC-2026-0117,Compra de temporada
OVEROL,OVEROL JARDINERO,UNISEX,AZUL MARINO,XXL,10,34.20,TEXTILES DEL NORTE S.A.C.,1000,,F001-000217,OC-2026-0118,Compra de temporada
UNIFORME,UNIFORME INDUSTRIAL,UNISEX,NEGRO,XL,17,41.80,HILADOS PIURA E.I.R.L.,1000,,F001-000218,OC-2026-0119,Compra de temporada
BIOSEGURIDAD,MASCARILLA TELA,UNISEX,BEIGE,UNICA,24,2.41,CONFECCIONES LUCERO,1000,,F001-000219,OC-2026-0120,Compra de temporada
BATA,BATA ESCOLAR,NINO,CELESTE,8,31,24.00,TEXTILES DEL NORTE S.A.C.,1002,,F001-000220,OC-2026-0121,Devolución de cliente
POLO,POLO PIQUE,MUJER,AZUL MARINO,S,38,21.30,HILADOS PIURA E.I.R.L.,1000,,F001-000221,OC-2026-0122,Compra de temporada
PANTALON,PANTALON CARGO,HOMBRE,NEGRO,XS,45,47.20,CONFECCIONES LUCERO,1000,,F001-000222,OC-2026-0123,Compra de temporada
CAMISA,CAMISA MANGA LARGA,HOMBRE,BEIGE,XXL,52,47.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000223,OC-2026-0124,Compra de temporada
CAMISETA,CAMISETA ALGODON,HOMBRE,CELESTE,XL,59,10.96,HILADOS PIURA E.I.R.L.,1000,,F001-000224,OC-2026-0125,Compra de temporada
JEAN,JEAN CLASICO,MUJER,AZUL MARINO,L,66,41.25,CONFECCIONES LUCERO,1000,,F001-000225,OC-2026-0126,Compra de temporada
SHORT,SHORT DEPORTIVO,NINO,NEGRO,M,73,13.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000226,OC-2026-0127,Compra de temporada
VESTIDO,VESTIDO CASUAL,MUJER,BEIGE,S,80,39.22,HILADOS PIURA E.I.R.L.,1000,,F001-000227,OC-2026-0128,Compra de temporada
BLUSA,BLUSA FORMAL,MUJER,CELESTE,XS,87,33.52,CONFECCIONES LUCERO,1000,,F001-000228,OC-2026-0129,Compra de temporada
BUSO,BUSO DEPORTIVO,MUJER,AZUL MARINO,XXL,94,40.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000229,OC-2026-0130,Compra de temporada
CHAQUETA,CHAQUETA IMPERMEABLE,HOMBRE,NEGRO,XL,10,85.50,HILADOS PIURA E.I.R.L.,1000,,F001-000230,OC-2026-0131,Compra de temporada
FALDA,FALDA ESCOLAR,NINA,BEIGE,10,17,16.30,CONFECCIONES LUCERO,1000,,F001-000231,OC-2026-0132,Compra de temporada
OVEROL,OVEROL INDUSTRIAL,UNISEX,CELESTE,M,24,39.00,TEXTILES DEL NORTE S.A.C.,1000,,F001-000232,OC-2026-0133,Compra de temporada
UNIFORME,UNIFORME ESCOLAR,NINA,AZUL MARINO,6,31,29.35,HILADOS PIURA E.I.R.L.,1000,,F001-000233,OC-2026-0134,Compra de temporada
BIOSEGURIDAD,MANDIL DESCARTABLE,UNISEX,NEGRO,UNICA,38,5.10,CONFECCIONES LUCERO,1000,,F001-000234,OC-2026-0135,Compra de temporada
BATA,BATA CLINICA,UNISEX,BEIGE,XXL,45,30.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000235,OC-2026-0136,Compra de temporada
POLO,POLO BASICO,HOMBRE,CELESTE,XL,52,18.80,HILADOS PIURA E.I.R.L.,1000,,F001-000236,OC-2026-0137,Compra de temporada
PANTALON,PANTALON DRIL,HOMBRE,AZUL MARINO,L,59,44.20,CONFECCIONES LUCERO,1000,,F001-000237,OC-2026-0138,Compra de temporada
CAMISA,CAMISA FORMAL,HOMBRE,NEGRO,M,66,53.50,TEXTILES DEL NORTE S.A.C.,1000,,F001-000238,OC-2026-0139,Compra de temporada
CAMISETA,CAMISETA DEPORTIVA,MUJER,BEIGE,S,73,13.63,HILADOS PIURA E.I.R.L.,1000,,F001-000239,OC-2026-0140,Compra de temporada
JEAN,JEAN SLIM,HOMBRE,CELESTE,XS,80,43.40,CONFECCIONES LUCERO,1210,,F001-000240,OC-2026-0141,Traslado entre bodegas
SHORT,SHORT CASUAL,MUJER,AZUL MARINO,XXL,87,15.30,TEXTILES DEL NORTE S.A.C.,1000,,F001-000241,OC-2026-0142,Compra de temporada
VESTIDO,VESTIDO FORMAL,MUJER,NEGRO,XL,94,56.10,HILADOS PIURA E.I.R.L.,1000,,F001-000242,OC-2026-0143,Compra de temporada
BLUSA,BLUSA CASUAL,MUJER,BEIGE,L,10,26.26,CONFECCIONES LUCERO,1000,,F001-000243,OC-2026-0144,Compra de temporada
BUSO,BUSO CANGURO,HOMBRE,CELESTE,M,17,42.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000244,OC-2026-0145,Compra de temporada
CHAQUETA,CHAQUETA JEAN,MUJER,AZUL MARINO,S,24,74.00,HILADOS PIURA E.I.R.L.,1000,,F001-000245,OC-2026-0146,Compra de temporada
FALDA,FALDA CASUAL,MUJER,NEGRO,XS,31,34.70,CONFECCIONES LUCERO,1000,,F001-000246,OC-2026-0147,Compra de temporada
OVEROL,OVEROL JARDINERO,UNISEX,BEIGE,XXL,38,32.20,TEXTILES DEL NORTE S.A.C.,1000,,F001-000247,OC-2026-0148,Compra de temporada
UNIFORME,UNIFORME INDUSTRIAL,UNISEX,CELESTE,XL,45,39.80,HILADOS PIURA E.I.R.L.,1000,,F001-000248,OC-2026-0149,Compra de temporada
BIOSEGURIDAD,MASCARILLA TELA,UNISEX,AZUL MARINO,UNICA,52,2.11,CONFECCIONES LUCERO,1000,,F001-000249,OC-2026-0150,Compra de temporada
BATA,BATA QUIRURGICA,UNISEX,NEGRO,M,59,36.50,TEXTILES DEL NORTE S.A.C.,1000,,F001-000250,OC-2026-0151,Compra de temporada
POLO,POLO DEPORTIVO,MUJER,BEIGE,S,66,21.93,HILADOS PIURA E.I.R.L.,1000,,F001-000251,OC-2026-0152,Compra de temporada
PANTALON,PANTALON JOGGER,HOMBRE,CELESTE,XS,73,37.92,CONFECCIONES LUCERO,1000,,F001-000252,OC-2026-0153,Compra de temporada
CAMISA,CAMISA CASUAL,MUJER,AZUL MARINO,XXL,80,38.02,TEXTILES DEL NORTE S.A.C.,1000,,F001-000253,OC-2026-0154,Compra de temporada
CAMISETA,CAMISETA ALGODON,NINO,NEGRO,XL,87,10.16,HILADOS PIURA E.I.R.L.,1000,,F001-000254,OC-2026-0155,Compra de temporada
JEAN,JEAN CLASICO,MUJER,BEIGE,L,94,38.75,CONFECCIONES LUCERO,1000,,F001-000255,OC-2026-0156,Compra de temporada
SHORT,SHORT DEPORTIVO,HOMBRE,CELESTE,M,10,12.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000256,OC-2026-0157,Compra de temporada
VESTIDO,VESTIDO CASUAL,MUJER,AZUL MARINO,S,17,37.02,HILADOS PIURA E.I.R.L.,1000,,F001-000257,OC-2026-0158,Compra de temporada
BLUSA,BLUSA FORMAL,MUJER,NEGRO,XS,24,31.72,CONFECCIONES LUCERO,1000,,F001-000258,OC-2026-0159,Compra de temporada
BUSO,BUSO DEPORTIVO,MUJER,BEIGE,XXL,31,38.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000259,OC-2026-0160,Compra de temporada
CHAQUETA,CHAQUETA IMPERMEABLE,HOMBRE,CELESTE,XL,38,81.00,HILADOS PIURA E.I.R.L.,1007,,F001-000260,OC-2026-0161,Ajuste positivo de inventario
FALDA,FALDA ESCOLAR,NINA,AZUL MARINO,10,45,25.30,CONFECCIONES LUCERO,1000,,F001-000261,OC-2026-0162,Compra de temporada
OVEROL,OVEROL INDUSTRIAL,UNISEX,NEGRO,M,52,36.50,TEXTILES DEL NORTE S.A.C.,1000,,F001-000262,OC-2026-0163,Compra de temporada
UNIFORME,UNIFORME ESCOLAR,NINA,BEIGE,6,59,27.85,HILADOS PIURA E.I.R.L.,1000,,F001-000263,OC-2026-0164,Compra de temporada
BIOSEGURIDAD,MANDIL DESCARTABLE,UNISEX,CELESTE,UNICA,66,4.60,CONFECCIONES LUCERO,1000,,F001-000264,OC-2026-0165,Compra de temporada
